Время найдено	№ блока	трудность	Область	Усилие	Вознаграждение за блок	Вознаграждение	Статус
08.02.2021, 13:52:13	7663377	470365485674	us-ca	11%	1.983860 CFX	1.966005 CFX ()	
08.02.2021, 13:51:56	7663359	470365485674	us-ca	36%	1.843257 CFX	1.826667 CFX ()	
08.02.2021, 13:51:12	7663332	470365485674	eu-de	2.1%	1.975860 CFX	1.958077 CFX ()	
08.02.2021, 13:51:10	7663331	470365485674	eu-de	72%	1.980059 CFX	1.962238 CFX ()	
08.02.2021, 13:49:15	7663241	470365485674	eu-de	66%	1.992858 CFX	1.974922 CFX ()	
08.02.2021, 13:46:00	7663072	470365485674	eu-de	4.3%	1.990258 CFX	1.972346 CFX ()	
08.02.2021, 13:45:58	7663070	470365485674	eu-de	40%	1.983858 CFX	1.966003 CFX ()	
08.02.2021, 13:44:56	7663010	470365485674	us-ca	57%	1.960858 CFX	1.943210 CFX ()	
08.02.2021, 13:43:46	7662925	470365485674	us-ca	81%	1.942258 CFX	1.924777 CFX ()	
08.02.2021, 13:42:24	7662845	470365485674	us-ca	40%	1.820056 CFX	1.803676 CFX ()	
08.02.2021, 13:41:55	7662821	470365485674	eu-de	53%	1.884856 CFX	1.867892 CFX ()	
08.02.2021, 13:41:54	7662821	470365485674	us-ca	53%	1.948858 CFX	1.931318 CFX ()	
08.02.2021, 13:40:57	7662756	470365485674	us-ca	304%	1.726253 CFX	1.710717 CFX ()	
08.02.2021, 13:34:39	7662386	470365485674	us-ca	4.3%	1.966258 CFX	1.948561 CFX ()	
08.02.2021, 13:34:23	7662359	470365485674	eu-de	23%	1.795254 CFX	1.779097 CFX ()	
08.02.2021, 13:34:01	7662339	470365485674	eu-de	206%	1.782254 CFX	1.766213 CFX ()	
08.02.2021, 13:30:17	7662119	470365485674	eu-de	191%	1.884860 CFX	1.867896 CFX ()	
08.02.2021, 13:26:46	7661898	470365485674	eu-de	34%	1.960859 CFX	1.943212 CFX ()	
08.02.2021, 13:26:22	7661861	470365485674	eu-de	64%	0.963237 CFX	0.954567 CFX ()	
08.02.2021, 13:25:16	7661803	470365485674	eu-de	96%	1.911860 CFX	1.894654 CFX ()	
08.02.2021, 13:23:12	7661672	470365485674	eu-de	119%	1.966258 CFX	1.948561 CFX ()	
08.02.2021, 13:19:34	7661479	470365485674	eu-de	145%	1.935265 CFX	1.917847 CFX ()	
08.02.2021, 13:16:40	7661325	470365485674	eu-de	6.4%	1.372844 CFX	1.360489 CFX ()	
08.02.2021, 13:16:35	7661326	470365485674	us-ca	200%	1.768855 CFX	1.752936 CFX ()	
08.02.2021, 13:13:11	7661140	470365485674	eu-de	77%	1.966258 CFX	1.948561 CFX ()	
08.02.2021, 13:11:54	7661065	470365485674	eu-de	40%	1.995061 CFX	1.977106 CFX ()	
08.02.2021, 13:11:07	7660996	470365485674	us-ca	168%	0.415815 CFX	0.412073 CFX ()	
08.02.2021, 13:07:47	7660818	470365485674	us-ca	206%	1.966258 CFX	1.948561 CFX ()	
08.02.2021, 13:04:09	7660593	470365485674	eu-de	255%	1.996858 CFX	1.978886 CFX ()	
08.02.2021, 12:59:45	7660327	470365485674	us-ca	138%	1.942257 CFX	1.924777 CFX ()	
08.02.2021, 12:57:18	7660197	470365485674	us-ca	174%	1.990258 CFX	1.972345 CFX ()	
08.02.2021, 12:54:12	7660030	470365485674	eu-de	398%	1.998258 CFX	1.980274 CFX ()	
08.02.2021, 12:43:49	7659577	727245894075	eu-de	4.1%	1.980059 CFX	1.962239 CFX ()	
08.02.2021, 12:43:42	7659571	727245894075	us-ca	175%	1.992858 CFX	1.974922 CFX ()	
08.02.2021, 12:38:01	7659337	727245894075	eu-de	63%	1.996858 CFX	1.978886 CFX ()	
08.02.2021, 12:36:22	7659272	727245894075	eu-de	128%	1.995059 CFX	1.977104 CFX ()	
08.02.2021, 12:31:47	7659099	727245894075	eu-de	191%	1.995059 CFX	1.977104 CFX ()	
08.02.2021, 12:24:45	7658832	727245894075	eu-de	76%	1.996860 CFX	1.978889 CFX ()	
08.02.2021, 12:22:13	7658740	727245894075	eu-de	84%	1.983859 CFX	1.966005 CFX ()	
08.02.2021, 12:19:28	7658646	727245894075	eu-de	171%	1.987260 CFX	1.969375 CFX ()	
08.02.2021, 12:13:58	7658455	727245894075	us-ca	77%	1.942259 CFX	1.924779 CFX ()	
08.02.2021, 12:10:45	7658357	727245894075	us-ca	67%	1.971259 CFX	1.953518 CFX ()	
08.02.2021, 12:07:44	7658248	727245894075	us-ca	11%	1.992859 CFX	1.974923 CFX ()	
08.02.2021, 12:07:15	7658231	727245894075	us-ca	241%	1.990258 CFX	1.972345 CFX ()	
08.02.2021, 11:57:35	7657866	727245894075	eu-de	58%	1.987258 CFX	1.969373 CFX ()	
08.02.2021, 11:55:11	7657770	727245894075	eu-de	319%	1.983858 CFX	1.966003 CFX ()	
08.02.2021, 11:38:17	7657138	727245894075	eu-de	11%	1.992858 CFX	1.974922 CFX ()	
08.02.2021, 11:37:51	7657121	727245894075	us-ca	165%	1.996861 CFX	1.978889 CFX ()	
08.02.2021, 11:32:06	7656910	727245894075	eu-de	12%	1.992860 CFX	1.974924 CFX ()	
08.02.2021, 11:31:50	7656897	727245894075	us-ca	151%	1.983858 CFX	1.966003 CFX ()	
08.02.2021, 11:27:27	7656737	727245894075	us-ca	89%	1.971259 CFX	1.953517 CFX ()	
08.02.2021, 11:24:19	7656630	727245894075	eu-de	25%	1.996858 CFX	1.978886 CFX ()	
08.02.2021, 11:23:40	7656607	727245894075	us-ca	221%	1.996858 CFX	1.978886 CFX ()	
08.02.2021, 11:16:28	7656358	727245894075	eu-de	29%	1.966257 CFX	1.948561 CFX ()	
08.02.2021, 11:15:12	7656308	727245894075	us-ca	48%	1.990261 CFX	1.972349 CFX ()	
08.02.2021, 11:13:32	7656254	727245894075	us-ca	22%	1.996858 CFX	1.978886 CFX ()	
08.02.2021, 11:12:55	7656228	727245894075	us-ca	12%	1.990259 CFX	1.972347 CFX ()	
08.02.2021, 11:12:23	7656211	727245894075	us-ca	99%	1.987258 CFX	1.969373 CFX ()	
08.02.2021, 11:09:01	7656090	727245894075	us-ca	45%	1.987259 CFX	1.969373 CFX ()	
08.02.2021, 11:07:14	7656021	727245894075	eu-de	87%	1.996860 CFX	1.978888 CFX ()	
08.02.2021, 11:04:03	7655909	727245894075	us-ca	106%	1.975857 CFX	1.958075 CFX ()	
08.02.2021, 11:01:08	7655812	727245894075	eu-de	11%	1.992860 CFX	1.974924 CFX ()	
08.02.2021, 11:00:45	7655802	727245894075	us-ca	245%	1.992860 CFX	1.974924 CFX ()	
08.02.2021, 10:52:26	7655493	727245894075	us-ca	11%	1.955059 CFX	1.937463 CFX ()	
08.02.2021, 10:52:12	7655485	727245894075	us-ca	146%	1.998259 CFX	1.980275 CFX ()	
08.02.2021, 10:47:24	7655319	727245894075	eu-de	131%	1.996860 CFX	1.978888 CFX ()	
08.02.2021, 10:41:31	7655076	727245894075	us-ca	399%	1.975858 CFX	1.958075 CFX ()	
08.02.2021, 10:25:04	7654117	484830596050	us-ca	12%	1.971258 CFX	1.953516 CFX ()	
08.02.2021, 10:24:55	7654105	484830596050	us-ca	56%	1.975859 CFX	1.958076 CFX ()	
08.02.2021, 10:23:45	7654037	484830596050	us-ca	54%	1.971257 CFX	1.953516 CFX ()	
08.02.2021, 10:22:36	7653973	484830596050	us-ca	8.3%	1.942261 CFX	1.924780 CFX ()	
08.02.2021, 10:22:34	7653972	484830596050	eu-de	41%	1.975858 CFX	1.958075 CFX ()	
08.02.2021, 10:21:52	7653933	484830596050	us-ca	29%	1.960857 CFX	1.943210 CFX ()	
08.02.2021, 10:21:13	7653897	484830596050	us-ca	111%	1.955060 CFX	1.937465 CFX ()	
08.02.2021, 10:18:44	7653763	484830596050	us-ca	109%	1.920058 CFX	1.902777 CFX ()	
08.02.2021, 10:15:53	7653615	484830596050	eu-de	2.1%	1.966261 CFX	1.948565 CFX ()	
08.02.2021, 10:15:47	7653612	484830596050	us-ca	19%	1.903257 CFX	1.886128 CFX ()	
08.02.2021, 10:15:22	7653586	484830596050	eu-de	10%	1.884857 CFX	1.867893 CFX ()	
08.02.2021, 10:15:20	7653583	484830596050	eu-de	21%	1.960858 CFX	1.943210 CFX ()	
08.02.2021, 10:14:46	7653551	484830596050	eu-de	402%	1.935257 CFX	1.917839 CFX ()	
08.02.2021, 10:05:07	7653019	484830596050	us-ca	109%	1.948860 CFX	1.931320 CFX ()	
08.02.2021, 10:03:10	7652890	484830596050	us-ca	6.2%	1.996860 CFX	1.978888 CFX ()	
08.02.2021, 10:03:07	7652888	484830596050	us-ca	74%	1.971259 CFX	1.953518 CFX ()	
08.02.2021, 10:01:47	7652798	484830596050	eu-de	89%	1.980058 CFX	1.962238 CFX ()	
08.02.2021, 09:59:26	7652654	484830596050	us-ca	23%	1.911857 CFX	1.894650 CFX ()	
08.02.2021, 09:58:39	7652608	484830596050	eu-de	50%	1.990258 CFX	1.972346 CFX ()	
08.02.2021, 09:57:47	7652566	484830596050	eu-de	109%	1.894259 CFX	1.877211 CFX ()	
08.02.2021, 09:55:19	7652434	484830596050	eu-de	66%	1.949489 CFX	1.931944 CFX ()	
08.02.2021, 09:53:56	7652354	484830596050	eu-de	41%	1.807854 CFX	1.791584 CFX ()	
08.02.2021, 09:53:20	7652320	484830596050	eu-de	258%	1.983860 CFX	1.966005 CFX ()	
08.02.2021, 09:46:53	7651941	484830596050	eu-de	91%	1.960861 CFX	1.943213 CFX ()	
08.02.2021, 09:44:38	7651805	484830596050	eu-de	208%	1.438245 CFX	1.425301 CFX ()	
08.02.2021, 09:39:08	7651514	484830596050	eu-de	70%	1.903258 CFX	1.886129 CFX ()	
08.02.2021, 09:39:08	7651514	484830596050	us-ca	70%	1.911857 CFX	1.894650 CFX ()	
08.02.2021, 09:37:36	7651428	484830596050	eu-de	2.1%	1.955057 CFX	1.937462 CFX ()	
08.02.2021, 09:37:34	7651424	484830596050	eu-de	27%	1.903257 CFX	1.886128 CFX ()	
08.02.2021, 09:37:01	7651403	484830596050	eu-de	2.1%	1.927861 CFX	1.910511 CFX ()	
08.02.2021, 09:36:58	7651402	484830596050	us-ca	37%	1.884857 CFX	1.867893 CFX ()	
08.02.2021, 09:36:02	7651355	484830596050	us-ca	10%	1.935258 CFX	1.917840 CFX ()	
08.02.2021, 09:35:53	7651348	484830596050	eu-de	56%	1.990258 CFX	1.972346 CFX ()	
08.02.2021, 09:34:45	7651290	484830596050	us-ca	169%	1.894261 CFX	1.877213 CFX ()	
08.02.2021, 09:31:35	7651141	484830596050	eu-de	64%	1.768856 CFX	1.752936 CFX ()	
08.02.2021, 09:29:45	7651043	484830596050	eu-de	45%	1.955058 CFX	1.937463 CFX ()	
08.02.2021, 09:28:42	7650980	484830596050	us-ca	14%	1.911868 CFX	1.894661 CFX ()	
08.02.2021, 09:28:14	7650960	484830596050	eu-de	200%	1.948857 CFX	1.931318 CFX ()	
08.02.2021, 09:23:10	7650686	484830596050	us-ca	268%	1.966261 CFX	1.948564 CFX ()	
08.02.2021, 09:17:50	7650404	484830596050	eu-de	8.3%	1.971261 CFX	1.953519 CFX ()	
08.02.2021, 09:17:45	7650398	484830596050	eu-de	6.2%	1.942257 CFX	1.924777 CFX ()	
08.02.2021, 09:17:42	7650396	484830596050	us-ca	45%	1.983858 CFX	1.966003 CFX ()	
08.02.2021, 09:17:01	7650360	484830596050	eu-de	299%	1.966260 CFX	1.948564 CFX ()	
08.02.2021, 09:10:55	7650053	484830596050	eu-de	45%	1.998258 CFX	1.980273 CFX ()	
08.02.2021, 09:08:58	7649973	609972072384	eu-de	89%	1.992858 CFX	1.974922 CFX ()	
08.02.2021, 09:05:31	7649829	609972072384	us-ca	67%	1.980058 CFX	1.962237 CFX ()	
08.02.2021, 09:03:50	7649762	609972072384	us-ca	198%	1.995061 CFX	1.977105 CFX ()	
08.02.2021, 08:57:34	7649502	609972072384	eu-de	28%	1.983858 CFX	1.966003 CFX ()	
08.02.2021, 08:56:55	7649472	609972072384	eu-de	157%	1.980059 CFX	1.962239 CFX ()	
08.02.2021, 08:54:17	7649352	609972072384	eu-de	30%	1.927858 CFX	1.910507 CFX ()	
08.02.2021, 08:53:38	7649325	609972072384	eu-de	90%	1.990258 CFX	1.972345 CFX ()	
08.02.2021, 08:50:45	7649195	609972072384	eu-de	82%	1.927857 CFX	1.910506 CFX ()	
08.02.2021, 08:49:18	7649130	609972072384	us-ca	44%	1.992861 CFX	1.974926 CFX ()	
08.02.2021, 08:48:17	7649084	609972072384	eu-de	57%	1.992858 CFX	1.974922 CFX ()	
08.02.2021, 08:46:23	7648995	609972072384	us-ca	39%	1.966260 CFX	1.948564 CFX ()	
08.02.2021, 08:45:33	7648966	609972072384	eu-de	282%	1.966258 CFX	1.948561 CFX ()	
08.02.2021, 08:39:37	7648705	609972072384	eu-de	254%	1.992858 CFX	1.974922 CFX ()	
08.02.2021, 08:32:27	7648389	609972072384	eu-de	80%	1.998259 CFX	1.980274 CFX ()	
08.02.2021, 08:30:18	7648300	609972072384	us-ca	11%	1.948859 CFX	1.931319 CFX ()	
08.02.2021, 08:29:50	7648283	609972072384	us-ca	103%	1.983858 CFX	1.966003 CFX ()	
08.02.2021, 08:27:08	7648171	609972072384	us-ca	4.9%	1.996859 CFX	1.978887 CFX ()	
08.02.2021, 08:27:00	7648167	609972072384	us-ca	23%	1.980059 CFX	1.962238 CFX ()	
08.02.2021, 08:26:16	7648138	609972072384	us-ca	138%	1.971259 CFX	1.953518 CFX ()	
08.02.2021, 08:22:51	7648000	609972072384	us-ca	257%	1.975857 CFX	1.958075 CFX ()	
08.02.2021, 08:14:17	7647635	609972072384	eu-de	1.6%	1.996859 CFX	1.978887 CFX ()	
08.02.2021, 08:14:11	7647633	609972072384	eu-de	56%	1.998260 CFX	1.980275 CFX ()	
08.02.2021, 08:12:02	7647533	609972072384	eu-de	244%	1.992858 CFX	1.974922 CFX ()	
08.02.2021, 08:03:52	7647181	609972072384	eu-de	28%	1.992859 CFX	1.974924 CFX ()	
08.02.2021, 08:02:59	7647147	609972072384	us-ca	139%	1.983857 CFX	1.966003 CFX ()	
08.02.2021, 07:57:58	7646927	609972072384	eu-de	67%	1.980058 CFX	1.962237 CFX ()	
08.02.2021, 07:55:40	7646832	609972072384	eu-de	282%	1.998260 CFX	1.980275 CFX ()	
08.02.2021, 07:48:20	7646542	609972072384	as-sg	272%	1.975857 CFX	1.958075 CFX ()	
08.02.2021, 07:48:20	7646542	609972072384	eu-de	272%	1.983857 CFX	1.966003 CFX ()	
08.02.2021, 07:36:56	7646090	609972072384	eu-de	110%	1.995058 CFX	1.977102 CFX ()	
08.02.2021, 07:33:46	7645960	609972072384	eu-de	326%	1.995058 CFX	1.977102 CFX ()	
08.02.2021, 07:22:25	7645494	609972072384	us-ca	74%	1.966259 CFX	1.948562 CFX ()	
08.02.2021, 07:19:23	7645369	609972072384	eu-de	8.2%	1.992860 CFX	1.974924 CFX ()	
08.02.2021, 07:19:15	7645363	609972072384	eu-de	49%	1.987257 CFX	1.969372 CFX ()	
08.02.2021, 07:18:00	7645294	609972072384	eu-de	6.6%	1.843256 CFX	1.826666 CFX ()	
08.02.2021, 07:17:46	7645286	609972072384	us-ca	3.3%	1.983858 CFX	1.966003 CFX ()	
08.02.2021, 07:17:38	7645278	609972072384	us-ca	44%	1.948857 CFX	1.931317 CFX ()	
08.02.2021, 07:16:40	7645213	609972072384	us-ca	98%	1.960860 CFX	1.943212 CFX ()	
08.02.2021, 07:14:10	7645060	609972072384	us-ca	54%	1.942257 CFX	1.924777 CFX ()	
08.02.2021, 07:12:35	7644951	406648048256	eu-de	170%	0.555019 CFX	0.550024 CFX ()	
08.02.2021, 07:09:17	7644733	406648048256	eu-de	37%	1.975866 CFX	1.958083 CFX ()	
08.02.2021, 07:08:51	7644699	406648048256	eu-de	177%	1.975860 CFX	1.958077 CFX ()	
08.02.2021, 07:06:04	7644518	406648048256	us-ca	25%	1.948858 CFX	1.931318 CFX ()	
08.02.2021, 07:05:44	7644496	406648048256	us-ca	22%	1.927858 CFX	1.910507 CFX ()	
08.02.2021, 07:05:29	7644479	406648048256	eu-de	175%	1.647260 CFX	1.632434 CFX ()	
08.02.2021, 07:03:04	7644323	406648048256	us-ca	44%	1.807861 CFX	1.791590 CFX ()	
08.02.2021, 07:02:35	7644290	406648048256	us-ca	113%	1.875057 CFX	1.858181 CFX ()	
08.02.2021, 07:00:24	7644139	406648048256	eu-de	42%	1.864858 CFX	1.848074 CFX ()	
08.02.2021, 06:59:57	7644108	406648048256	us-ca	403%	1.903257 CFX	1.886128 CFX ()	
08.02.2021, 06:52:26	7643568	406648048256	us-ca	7.4%	1.894258 CFX	1.877210 CFX ()	
08.02.2021, 06:52:18	7643558	406648048256	us-ca	192%	1.911857 CFX	1.894650 CFX ()	
08.02.2021, 06:49:38	7643371	406648048256	us-ca	128%	1.935262 CFX	1.917845 CFX ()	
08.02.2021, 06:47:22	7643218	406648048256	us-ca	2.5%	1.942261 CFX	1.924781 CFX ()	
08.02.2021, 06:47:22	7643217	406648048256	us-ca	39%	1.948858 CFX	1.931318 CFX ()	
08.02.2021, 06:46:38	7643165	406648048256	us-ca	4.9%	1.942263 CFX	1.924783 CFX ()	
08.02.2021, 06:46:34	7643163	406648048256	us-ca	52%	1.935258 CFX	1.917841 CFX ()	
08.02.2021, 06:45:48	7643110	406648048256	us-ca	202%	1.955064 CFX	1.937468 CFX ()	
08.02.2021, 06:42:17	7642873	406648048256	us-ca	180%	1.884856 CFX	1.867893 CFX ()	
08.02.2021, 06:38:58	7642656	406648048256	eu-de	54%	1.894258 CFX	1.877210 CFX ()	
08.02.2021, 06:37:53	7642584	406648048256	us-ca	22%	1.854259 CFX	1.837571 CFX ()	
08.02.2021, 06:37:26	7642551	406648048256	eu-de	25%	1.894268 CFX	1.877220 CFX ()	
08.02.2021, 06:36:50	7642517	406648048256	us-ca	69%	1.820063 CFX	1.803682 CFX ()	
08.02.2021, 06:36:03	7642466	406648048256	eu-de	180%	1.875058 CFX	1.858183 CFX ()	
08.02.2021, 06:32:38	7642236	406648048256	us-ca	20%	1.864856 CFX	1.848072 CFX ()	
08.02.2021, 06:32:22	7642218	406648048256	us-ca	61%	1.955061 CFX	1.937465 CFX ()	
08.02.2021, 06:31:15	7642150	406648048256	us-ca	52%	1.647253 CFX	1.632428 CFX ()	
08.02.2021, 06:30:09	7642077	406648048256	eu-de	20%	1.992867 CFX	1.974931 CFX ()	
08.02.2021, 06:29:56	7642062	406648048256	eu-de	135%	1.975865 CFX	1.958082 CFX ()	
08.02.2021, 06:27:43	7641902	406648048256	us-ca	61%	1.911857 CFX	1.894651 CFX ()	
08.02.2021, 06:26:52	7641844	406648048256	eu-de	268%	1.911857 CFX	1.894651 CFX ()	
08.02.2021, 06:22:52	7641560	406648048256	eu-de	275%	1.948858 CFX	1.931318 CFX ()	
08.02.2021, 06:18:38	7641269	406648048256	eu-de	30%	1.955064 CFX	1.937468 CFX ()	
08.02.2021, 06:18:16	7641243	406648048256	eu-de	189%	1.966259 CFX	1.948563 CFX ()	
08.02.2021, 06:14:53	7641010	406648048256	us-ca	86%	1.960857 CFX	1.943210 CFX ()	
08.02.2021, 06:13:27	7640907	406648048256	eu-de	22%	1.987258 CFX	1.969373 CFX ()	
08.02.2021, 06:12:55	7640867	406648048256	us-ca	22%	1.960862 CFX	1.943214 CFX ()	
08.02.2021, 06:12:42	7640855	406648048256	us-ca	162%	1.948863 CFX	1.931323 CFX ()	
08.02.2021, 06:09:46	7640659	406648048256	eu-de	2.5%	1.966258 CFX	1.948561 CFX ()	
08.02.2021, 06:09:44	7640657	406648048256	eu-de	639%	1.971258 CFX	1.953516 CFX ()	
08.02.2021, 05:59:14	7640013	406648048256	eu-de	15%	1.995058 CFX	1.977102 CFX ()	
08.02.2021, 05:59:03	7640002	406648048256	us-ca	27%	1.987257 CFX	1.969372 CFX ()	
08.02.2021, 05:58:22	7639975	623828532674	eu-de	77%	1.996859 CFX	1.978887 CFX ()	
08.02.2021, 05:56:17	7639890	623828532674	eu-de	93%	1.992859 CFX	1.974923 CFX ()	
08.02.2021, 05:53:40	7639782	623828532674	us-ca	237%	1.990258 CFX	1.972345 CFX ()	
08.02.2021, 05:45:43	7639468	623828532674	us-ca	27%	1.987257 CFX	1.969372 CFX ()	
08.02.2021, 05:44:49	7639426	623828532674	us-ca	111%	1.987259 CFX	1.969374 CFX ()	
08.02.2021, 05:41:09	7639288	623828532674	eu-de	250%	1.992857 CFX	1.974922 CFX ()	
08.02.2021, 05:33:08	7639001	623828532674	eu-de	197%	1.990257 CFX	1.972345 CFX ()	
08.02.2021, 05:28:22	7638817	623828532674	eu-de	3.2%	1.996859 CFX	1.978887 CFX ()	
08.02.2021, 05:28:20	7638816	623828532674	eu-de	50%	1.992859 CFX	1.974923 CFX ()	
08.02.2021, 05:27:21	7638779	623828532674	eu-de	1.6%	1.992859 CFX	1.974923 CFX ()	
08.02.2021, 05:27:19	7638777	623828532674	eu-de	324%	1.983859 CFX	1.966004 CFX ()	
08.02.2021, 05:19:02	7638440	623828532674	us-ca	21%	1.726253 CFX	1.710717 CFX ()	
08.02.2021, 05:18:33	7638432	623828532674	eu-de	43%	1.990259 CFX	1.972347 CFX ()	
08.02.2021, 05:18:32	7638432	623828532674	eu-de	43%	1.995059 CFX	1.977104 CFX ()	
08.02.2021, 05:17:16	7638387	623828532674	us-ca	492%	1.996857 CFX	1.978886 CFX ()	
08.02.2021, 05:02:22	7637806	623828532674	us-ca	170%	1.990260 CFX	1.972348 CFX ()	
08.02.2021, 04:56:58	7637597	623828532674	eu-de	11%	1.998261 CFX	1.980277 CFX ()	
08.02.2021, 04:56:44	7637589	623828532674	us-ca	4.8%	1.983857 CFX	1.966003 CFX ()	
08.02.2021, 04:56:42	7637588	623828532674	us-ca	4.8%	1.975857 CFX	1.958074 CFX ()	
08.02.2021, 04:56:26	7637576	623828532674	us-ca	61%	1.983857 CFX	1.966003 CFX ()	
08.02.2021, 04:53:57	7637475	623828532674	us-ca	45%	1.971258 CFX	1.953516 CFX ()	
08.02.2021, 04:52:39	7637427	623828532674	us-ca	34%	1.995057 CFX	1.977102 CFX ()	
08.02.2021, 04:51:49	7637390	623828532674	us-ca	29%	1.980057 CFX	1.962237 CFX ()	
08.02.2021, 04:50:51	7637357	623828532674	us-ca	14%	1.980057 CFX	1.962237 CFX ()	
08.02.2021, 04:50:32	7637341	623828532674	eu-de	27%	1.995057 CFX	1.977102 CFX ()	
08.02.2021, 04:50:00	7637320	623828532674	us-ca	264%	1.990257 CFX	1.972345 CFX ()	
08.02.2021, 04:42:23	7637029	623828532674	eu-de	61%	1.980058 CFX	1.962238 CFX ()	
08.02.2021, 04:40:36	7636954	623828532674	eu-de	218%	1.987259 CFX	1.969373 CFX ()	
08.02.2021, 04:32:58	7636656	623828532674	eu-de	192%	1.992859 CFX	1.974923 CFX ()	
08.02.2021, 04:27:21	7636417	623828532674	us-ca	34%	1.990257 CFX	1.972345 CFX ()	
08.02.2021, 04:26:32	7636379	623828532674	us-ca	80%	1.987257 CFX	1.969372 CFX ()	
08.02.2021, 04:24:22	7636295	623828532674	eu-de	83%	1.995267 CFX	1.977310 CFX ()	
